Enews Subscriber Id (Targeting dimension),Member ID (Targeting dimension)
160517004272244,7019610093435
160517007325095,7010074045756
160517004567734,7018105298683
160517004641970,7013695514090
160517004707487,7015371549860
160517004828616,7010874057683
160517005240511,7015530332913
160517005371576,7010818478383
160517005471421,7015550856130
160517005545299,7014243308406
160517005567285,7013506430274
160517006042318,7014485615737
160517006159784,7010442721350
160517006217214,7017141463680
160517006327753,7014185236744
160517006616418,7012039282275
160517006693851,7019457183610
160517006715288,7018566196917
160517006727925,7010665309229
160517006796744,7019443783770
160517006799269,7015835775361
160517007304894,7016445804984
160517007309905,7016992647331
160517007383529,7012442163161
160517007546263,7018863959710
160517007718933,7019181814644
160517007643535,7011589370036
160517007636399,7010919518735
160517007655473,7016940199455
160517007682295,7018530712297
160517007685202,7017698179768
160517007746638,7016743742162
160517004988942,7017681043748
160517006255229,7012694857290
160517003501954,7015374430936
160517005040096,7010049930698
160517005743772,7017577208503
160517007561029,7019100420901
160517005089270,7018274290464
5048664,7011362086390
150731123437972,7016318023856
130109142733139,7018627323344
140526113434399,7017546759296
150827122936252,7015038484138
1560765,7016874379473
1567137,7011188189091
4196486,7016212378052
160517007175887,7019609382939
160517007680294,7016860311258
673722,7019416137296
160517006646819,7018512290454
130120114350422,7018292248638
140214120112771,7013439163881
151009111235569,7017476037778
150924213200973,7012357858473
130927233654814,7014121052797
131026161530547,7014580937833
160517006819011,7012583375720
151012124932470,7019618421209
151013093006833,7011398463608
151025120915203,7018916930109
151027194227347,7014872303810
151103133837945,7017581270534
151121204708090,7018091358347
151125184648055,7012187033651
160517005207668,7018195846627
151212121446588,7018885459267
151214144802130,7014731236952
151217155806459,7018223826805
151222222725083,7012601870558
151224024430907,7011412887540
160517005277434,7014371263806
160103104927808,7012835477028
160517004851519,7016819203504
160218172920603,7010087367333
160315222902668,7013850497442
160409183452911,7012270053504
160517006955545,7013398556458
160517005285825,7019267196954
6692769,0
130111990156678,7016387021272
130119122144512,0
150514990015865,0
150917112701545,0
151101151025399,0
151121085632250,0
151215123550481,0
160517003928372,7019175837932
160517004035623,7011171963073
160517003293604,7018770329354
160517003599026,7012187473815
160517003610713,7014025842944
160517003745395,7011023478526
